IP,Port,Country,Org
193.239.166.244,443,SG,First Server
206.206.76.139,443,SG,OVHcloud
213.35.107.73,443,SG,Oracle Cloud
5.223.41.42,443,SG,Hetzner Online
194.36.178.132,443,SG,Neapol Group Ltd
51.79.158.126,443,SG,OVH Hosting
188.166.255.195,443,SG,Digital Ocean
178.128.80.43,443,SG,Digital Ocean
188.166.255.195,8443,SG,Digital Ocean
129.150.50.63,443,SG,Oracle Cloud
47.236.181.185,8443,SG,Alibaba
51.79.254.182,443,SG,OVH Hosting
45.129.228.31,8443,SG,Catixs Ltd
15.235.162.49,443,SG,OVHcloud
146.190.111.165,443,SG,Digital Ocean
143.198.213.197,8443,SG,Digital Ocean
167.71.194.185,8443,SG,Digital Ocean
209.97.172.173,443,SG,Digital Ocean
143.198.213.197,443,SG,Digital Ocean
8.219.1.169,443,SG,Alibaba
45.77.36.40,443,SG,Vultr
47.245.95.160,1443,SG,Alibaba
185.114.78.230,443,US,Aryaka Networks
152.42.172.170,8443,SG,Digital Ocean
62.72.46.14,8443,SG,Contabo Asia Private
206.206.76.208,8443,SG,Regxa Cloud
8.219.79.88,443,US,Alibaba
